id,tradition,period,founder,authenticity,principal_content,woh_wiki
eleusinian-mysteries,Eleusinian Mysteries,14th c. BCE–4th c. CE,(mythologically: Demeter),Likely,Death-and-rebirth initiation; agricultural cosmology; secrecy ethos,
orphism,Orphism,6th c. BCE onward,(mythologically: Orpheus),Likely,Soul–body dualism; reincarnation; cosmogonic poems; influence on Plato,
shint,Shintō (神道),3rd c. BCE–present,—,Likely,Kami theology; ancestor veneration; sacred-place cosmology; imperial-ancestral myth,https://www.wheelofheaven.world/wiki/shinto/
taoism,Taoism,4th c. BCE–present,Laozi (老子),Likely,The Tao Te Ching; Zhuangzi; cosmic Tao; immortality traditions,https://www.wheelofheaven.world/wiki/taoism/
confucianism,Confucianism,5th c. BCE–present,"Kongzi (Confucius, 孔子)",Likely,Ethical-political philosophy; ancestor veneration; ritual propriety; Five Classics,
buddhism,Buddhism,5th c. BCE–present,Siddhārtha Gautama (the Buddha),Canonical,Four Noble Truths; Eightfold Path; anatta; karma; nirvana; vast textual canon,https://www.wheelofheaven.world/wiki/buddhism/
judaism,Judaism,13th c. BCE–present,Moses; the Hebrew prophets; the patriarchs,Canonical,Hebrew Bible; covenant theology; messianic doctrine; the Elohim themselves,https://www.wheelofheaven.world/wiki/judaism/
zoroastrianism,Zoroastrianism,7th c. BCE–present,Zarathustra (Zoroaster),Highly likely,Ahura Mazda; dualism (Ahura Mazda vs Angra Mainyu); eschatology; resurrection doctrine; influence on subsequent traditions,
hinduism,Hinduism,15th c. BCE–present,— (Vedic rishis),Highly likely,"Vedas, Upanishads, Bhagavad Gita, Mahabharata, Ramayana; atman–brahman; avatar doctrine; cyclical cosmology",https://www.wheelofheaven.world/wiki/hinduism/
vedic-religion-pre-hindu,Vedic religion (pre-Hindu),15th c. BCE–6th c. BCE,— (Vedic rishis),Highly likely,The four Vedas; rishi-contact narratives; soma rituals; Indo-Aryan religion,
jainism,Jainism,9th c. BCE–present,Parshvanatha; Mahavira,Highly likely,Twenty-four tirthankaras; ahimsa; ascetic tradition; jiva–ajiva dualism,
sabaean-harranian-tradition,Sabaean / Harranian tradition,12th c. BCE–10th c. CE,Hermes / Idris / Enoch,Highly likely,Sabian astral religion; the Harranian Sabians; transmission of late antique pagan philosophy to Islamic philosophy,
ancient-egyptian-religion,Ancient Egyptian religion,31st c. BCE–4th c. CE,—,Highly likely,"The netjeru (Ennead, Ogdoad); afterlife doctrine; pyramid and coffin texts; Book of the Dead; long temple tradition",
sumerian-religion,Sumerian religion,31st c. BCE–6th c. BCE,—,Highly likely,The Anunnaki; Enuma Elish; Gilgamesh; the deluge tradition; cuneiform sources,
akkadian-babylonian-religion,Akkadian / Babylonian religion,24th c. BCE–6th c. BCE,—,Highly likely,Continuation of Sumerian theology in Semitic form; Enuma Elish; astrological tradition,
canaanite-religion,Canaanite religion,24th c. BCE–6th c. BCE,—,Highly likely,"El, Baal, Asherah, Mot, Yam; Ugaritic texts; substrate of Hebrew Bible terminology",
hittite-religion,Hittite religion,17th c. BCE–8th c. BCE,—,Likely,"""Thousand gods"" syncretic pantheon; Anatolian–Hurrian–Mesopotamian fusion",
indo-european-religion-reconstructed,Indo-European religion (reconstructed),4th millennium BCE,—,Likely,Reconstructed proto-tradition; Dyēus Pətḗr (sky-father); thunder god; threefold social-functional theology (Dumézil),
maya-religion,Maya religion,1st millennium BCE–16th c. CE,—,Likely,Long Count calendar; the Popol Vuh; astronomical-religious complex; world-age doctrine,
aztec-religion,Aztec religion,14th–16th c. CE,—,Likely,Five-suns cosmology; Quetzalcoatl; calendrical-religious complex,
inca-religion,Inca religion,13th–16th c. CE,—,Likely,Viracocha; solar theology; huacas; Andean cosmology,
norse-religion,Norse religion,1st millennium CE,—,Likely,The Æsir and Vanir; Eddas; Ragnarök; world-tree (Yggdrasil) cosmology,
celtic-religion,Celtic religion,1st millennium BCE–1st millennium CE,(druids),Likely,Polytheism; otherworld traditions; druidic priesthood; partial preservation in Welsh and Irish texts,
slavic-religion,Slavic religion,1st millennium CE,—,Likely,Perun; Veles; pre-Christian Slavic mythology; partial textual preservation,
african-traditional-religions,African Traditional Religions,Various antiquity–present,Various,Likely,Yoruba (Orisha); Akan; Bantu; Vodun (West Africa); diverse regional traditions,
native-american-traditions,Native American traditions,Various antiquity–present,Various,Likely,Diverse traditions across the Americas; star-people contact narratives in many traditions,
polynesian-traditions,Polynesian traditions,Various antiquity–present,Various,Likely,"Hawaiian, Maori, Tongan, Samoan; the Kumulipo; voyaging-knowledge religion",
greco-roman-religion,Greco-Roman religion,8th c. BCE–4th c. CE,—,Likely,"The Olympian pantheon; mystery cults; philosophical-religious schools (Stoicism, Neoplatonism)",
theosophy,Theosophy,1875–present,Helena Blavatsky,Unlikely,Esoteric synthesis; root-races doctrine; ascended-masters; influence on subsequent occult and New Age traditions,
anthroposophy,Anthroposophy,1912–present,Rudolf Steiner,Unlikely,Spiritual science; Christian mysticism; biodynamic agriculture; Waldorf education,
scientology,Scientology,1954–present,L. Ron Hubbard,Highly unlikely,Thetan theology; auditing; the Xenu narrative; cosmic-history doctrine,
new-age-movement,New Age movement,20th c.–present,(various),Unlikely (varies by branch),Eclectic syncretism; channelling; reincarnation; energy-and-vibration doctrine,
